url,language,paragraph
https://nl.wikipedia.org/wiki/Charles_Michel,nl,"Charles Yves Jean Ghislaine Michel(Namen,21 december1975) is een Belgischpoliticus voor de partij Mouvement Réformateur(MR). Van 11 oktober 2014 tot 27 oktober 2019 was hijpremier van Belgiëin de regeringen Michel Ien Michel II. Op 2 juli 2019 werd hij verkozen alsvoorzitter van de Europese Raad, in opvolging van Donald Tusk, een functie die hij van 1 december 2019 tot 30 november 2024 uitoefende."
https://nl.wikipedia.org/wiki/Sophie_Wilm%C3%A8s,nl,"Sophie Wilmès(Elsene,15 januari1975) is een Belgischpoliticavan de MR. Van 27 oktober 2019 tot 1 oktober 2020 was ze de eerste vrouwelijkepremiervan België. Vanaf 1 oktober 2020 was ze vicepremier en minister van Buitenlandse Zaken en Buitenlandse Handel. Om familiale redenen legde ze op 21 april 2022 haar bevoegdheden als minister tijdelijk neer. Op 15 juli 2022 legde ze haar functie definitief neer."
https://en.wikipedia.org/wiki/George_Washington,en,"George Washington(February 22, 1732 –December 14, 1799) was a Founding Fatherand the firstpresident of the United States, serving from 1789 to 1797. As commander of the Continental Army, Washington led Patriotforces to victory in the American Revolutionary Waragainst the British Empire. He is commonly known as the Father of the Nationfor his role in bringing about American independence."
https://en.wikipedia.org/wiki/Barack_Obama,en,"Barack Hussein Obama II (born August 4, 1961) is an American politician who served as the 44 thpresident of the United Statesfrom 2009 to 2017. A member of the Democratic Party, he was the first African Americanpresident. Obama previously served as a U. S. senatorrepresenting Illinois from 2005 to 2008 and as an Illinois state senatorfrom 1997 to 2004."
https://en.wikipedia.org/wiki/Abraham_Lincoln,en,"Abraham Lincoln (February 12, 1809 – April 15, 1865) was the 16 thpresident of the United States, serving from 1861 untilhis assassinationin 1865. He led the United States through the American Civil War, defeating the Confederate Statesand playing a major role in theabolition of slavery."
https://en.wikipedia.org/wiki/George_W._Bush,en,"George Walker Bush (born July 6, 1946) is an American politician, businessman, and former U. S. Air Forceofficer who was the 43 rdpresident of the United Statesfrom 2001 to 2009. A member of the Republican Partyand the eldest son of the 41 st president,George H. W. Bush, he served as the 46 thgovernor of Texasfrom 1995 to 2000."
https://en.wikipedia.org/wiki/Bill_Clinton,en,"William Jefferson Clinton(born William Jefferson Blythe III, August 19, 1946) is an American politician and lawyer who was the 42 ndpresident of the United Statesfrom 1993 to 2001. A member of the Democratic Party, he previously served as theattorney general of Arkansasfrom 1977 to 1979 and as thegovernor of Arkansasfrom 1979 to 1981, and again from 1983 to 1992. His centrist ""Third Way""political philosophybecame known as Clintonism, which dominatedhis presidencyand the succeeding decades of Democratic Party history."
https://en.wikipedia.org/wiki/Joe_Biden,en,"Joseph Robinette Biden Jr. (born November 20, 1942) is an American politician who served as the 46 thpresident of the United Statesfrom 2021 to 2025. A member of the Democratic Party, he represented Delawarein the United States Senatefrom 1973 to 2009 and also served as the 47 thvice presidentunder President Barack Obamafrom 2009 to 2017."
https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,en,"Franklin Delano Roosevelt (January 30, 1882 – April 12, 1945), also known as FDR, was the 32 ndpresident of the United States, serving from 1933 until his death in 1945. A member of the Democratic Party, he is thelongest-serving U. S. president, as well as the only one to have served more than two terms. Hisfirst two termswere centered on combating the Great Depression, while histhird and fourthsaw him shift his focus to America's involvement in World War II."
https://en.wikipedia.org/wiki/Andrew_Johnson,en,"Andrew Johnson(December 29, 1808 – July 31, 1875) was the 17 thpresident of the United States, serving from 1865 to 1869. The 16 thvice president, he assumed the presidency followingthe assassinationof Abraham Lincoln. Johnson was a War Democratwho ran with Lincoln on the National Union Partyticket in the1864 presidential election, coming to office as the American Civil Warconcluded. Johnson favored quick restoration of theseceded states to the Unionwithout protection for thenewly freed peoplewho were formerlyenslaved, as well aspardoning ex-Confederates. This led to conflict with the Republican Party-dominated U. S. Congress, culminating inhis impeachmentby the House of Representativesin 1868. He was acquittedin the Senateby one vote."
https://en.wikipedia.org/wiki/Gerald_Ford,en,"Gerald Rudolph Ford Jr.(born Leslie Lynch King Jr.; July 14, 1913 – December 26, 2006) was the 38 thpresident of the United States, serving from 1974 to 1977. A member of the Republican Party, Ford assumed the presidency afterthe resignationof Richard Nixon, under whom he had served as the 40 thvice presidentfrom 1973 to 1974 following the resignation of Spiro Agnew. Prior to that, he served as a member of the U. S. House of Representativesfrom 1949 to 1973."
https://en.wikipedia.org/wiki/Richard_Nixon,en,"Richard Milhous Nixon(January 9, 1913 – April 22, 1994) was the 37 thpresident of the United States, serving from 1969 untilhis resignationin 1974. A member of the Republican Party, he represented Californiain both houses of the United States Congressbefore serving as the 36 thvice presidentunder President Dwight D. Eisenhowerfrom 1953 to 1961. His presidencysaw the reduction of U. S. involvement in the Vietnam War,détentewith the Soviet Unionand China, the Apollo 11 Moon landing, and the establishment of the Environmental Protection Agencyand Occupational Safety and Health Administration. Nixon's second term ended early when he became the only U. S. president to resign from office, as a result of the Watergate scandal."
https://en.wikipedia.org/wiki/Lyndon_B._Johnson,en,"Lyndon Baines Johnson(/ˈlɪndənˈbeɪnz/; August 27, 1908 – January 22, 1973), also known as LBJ, was the 36 thpresident of the United States, serving from 1963 to 1969. He became president afterthe assassinationof John F. Kennedy, under whom he had served as the 37 thvice presidentfrom 1961 to 1963. ASouthern Democrat, Johnson previously represented Texasin Congressfor over 23 years, first as a U. S. representativefrom 1937 to 1949, and then as a U. S. senatorfrom 1949 to 1961."
https://en.wikipedia.org/wiki/John_F._Kennedy,en,"John Fitzgerald Kennedy(May 29, 1917 – November 22, 1963), also known as JFK, was the 35 thpresident of the United States, serving from 1961 untilhis assassinationin 1963. He was theyoungestpersonelectedpresident at 43 years. Kennedy served at the height of the Cold War, and the majority of his foreign policy concerned relations with the Soviet Unionand Cuba. A member of the Democratic Party, Kennedy represented Massachusettsin both houses of the United States Congressbefore his presidency."
https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,en,"Dwight David""Ike""Eisenhower (born David Dwight Eisenhower; October 14, 1890 – March 28, 1969) was the 34 thpresident of the United States, serving from 1953 to 1961. During World War II, he was Supreme Commander of the Allied Expeditionary Forcein Europe and achieved thefive-star rankas General of the Army. Eisenhower planned and supervised two of the most consequential military campaigns of World War II:Operation Torchin the North Africa campaignin 1942–1943 and theinvasion of Normandyin 1944."
https://en.wikipedia.org/wiki/Ronald_Reagan,en,"Ronald Wilson Reagan (February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40 thpresident of the United Statesfrom 1981 to 1989. A member of the Republican Party, he became an important figure in the American conservative movement. The period encompassinghis presidencyis known as the Reagan era."
